ああ,[こそあど],ຢ່າງນັ້ນ,yaang1 nan2
ああ,[こそあど],ແນວນັ້ນ,naew nan2
ああ,ああ,ໂອ້,oo2
ああいう,[こそあど],ຊະນິດນັ້ນ,xa nit nan2
ああいった,[こそあど],ຊະນິດນັ້ນ,xa nit nan2
ああした,[こそあど],ຊະນິດນັ້ນ,xa nit nan2
ああして,[こそあど],ເຊັ່ນນັ້ນ,xen1 nan2
あーっ,あーっ,ໂອ້ຍ,ooy2
ああやって,[こそあど],ຈັ່ງນັ້ນ,jang1 nan2
あい,愛,ຄວາມຮັກ,khwaam hak
あいえいちひーたー,ＩＨ・ヒーター,ເຕົາໄຟຟ້າໃຊ້ແມ່ເຫລັກ,tao hfai hfaa2 xay2 mae1 hlek
あいかぎ,合鍵,ກະແຈຜີ,ka jae hpii
あいかわらず,相変わらず,ຄືເກົ່າ,kheu kao1
あいかわらず,相変わらず,ຕາມປົກກະຕິ,taam pok ka ti
あいかわらず,相変わらず,ຕາມເຄີຍ,taam khery
あいきゅー,ＩＱ,ໄອ.ຄິວ.,ai khiw
あいきょう,愛嬌,ສະເຫນ,sa hnee
あいこくしん,愛国心,ລັດທິຊາດນິຍົມ,lat thi xaat ni nyom
あいこくしん,愛国心,ຮັກຊາດ,hak xaat
あいさいか,愛妻家,ເມຍທີ່ຮັກ,mia thii1 hak
あいさつ,挨拶,ຄຳນັບ,kham nap
あいさつ,挨拶,ທັກທາຍ,thak thaay
あいしあう,愛し合う,ຮັກກັນ,hak kan
あいしあう,愛し合う,ຮັກແພງກັນ,hak phaeng kan
あいしゃどー,アイ・シャドー,ສີທາຫນັງຕາ,sii thaa hnang taa
あいしゃどー,アイ・シャドー,ອາຍແຊໂດ,aay xae doo
あいしょう,愛称,ຊື່ນ້ອຍ,xeu1 nohy2
あいしょう,愛称,ຊື່ຫລິ້ນ,xeu1 lin2
あいじょう,愛情,ຄວາມຮັກ,khwaam hak
あいじん,愛人,ເມຍນ້ອຍ,mia nohy2
あいず,合図,ໃຫ້ສັນຍານ,hhay2 san nyaan
あいすくりーむ,アイス・クリーム,ກະແລມ,ka laem
あいすこーひー,アイス・コーヒー,ນ້ຳໂອລ້ຽງ,nam2 oo liang2
あいすらんど,アイス・ランド,ອິສະລັງ,i sa lang
あいする,愛する,ຮັກ,hak
あいだ,間,ລະຫວ່າງ,la hvaang1
あいつ,あいつ,ມັນ,man
あいつ,あいつ,ຫມໍນັ້ນ,hmoh nan2
あいて,相手,ຜູ້ຮ່ວມມື,hpuu2 huam1 meu
あいて,相手,ຝ່າຍຄ້ານ,hpaay1 khaan2
あいであ,アイデア,ຄວາມຄິດ,khwaam khit
あいであ,アイデア,ແນວຄິດ,naew khiit
あいでぃーかーど,ＩＤ・カード,ບັດປະຈຳຕົວ,bat pa jam tua
あいぼう,相棒,ຄູ່ຫູ,khuu1 hhuu
あいまい,曖昧,ບໍ່ຊັດແຈ້ງ,boh1 xat jaeng2
あいらしい,愛らしい,ຫນ້າຮັກ,hnaa2 hak
あいるらんど,アイル・ランド,ອຽກລັງ,iak lang
あいろん,アイロン,ເຕົາລີດ,tao liit
あいろんをかける,アイロンを・かける,ລີດຜ້າ,liit hpaa2
あいろんをかける,アイロンを・かける,ລີດເຄືອງນຸ່ງ,liit kheuang nung1
あう,（～）あう,ກັນ,kan
あう,合う,ພໍດີ,phoh dii
あう,合う,ພໍດີກັນ,phoh dii kan
あう,会う,ພົບ,phop
あう,会う,ພົບກັນ,phop kan
あう,合う,ເຂົ້າກັນ,hkao2 kan
あう,会う,ເຈິກັນ,joe kan
あえて,敢えて,ກ້າເຮັດ,kaa2 het
あえん,亜鉛,ສັງກະສີ,sang ka sii
あえんめっき,亜鉛メッキ,ຊຸບສັງກະສີ,xup sang ka sii
あお,青,ສີຟ້າ,sii faa2
あおい,青い,ມີສີຟ້າ,mii sii faa3
あおがえる,青蛙,ຂຽດ,hkiat
あおぐ,仰ぐ,ນັບຖື,nap hteu
あおむけになる,仰向け・に・なる,ຫງາຍ,hngaay
あか,垢,ຂີ້ໄຄ,hkii2 khai
あか,赤,ສີແດງ,sii daeng
あかい,赤い,ແດງ,daeng
あかがい,赤貝,ຫອຍແຄງ,hhohy khaeng
あかしあ,アカシア,(ຈຳພວກ)ຕົ້ນກະຖິນ,ton2 ka htin
あかちゃん,赤ちゃん,ເດັກນ້ອຍເກີດໃຫມ່,dek nohy2 kert hmay1
あかり,明かり,ແສງໄຟ,saeng fai
あがる,上がる,ຂຶ້ນ,hkuen2
あかるい,明るい,ສະຫວ່າງ,sa hvaang1
あかるい,明るい,ແຈ້ງ,jaeng2
あかるい,明るい,ໄສ,sai
あかわいん,赤ワイン,ວາຍແດງ,waay daeng
あかをこする,垢を擦る,ຖູຂີ້ໄຄ,htuu hkii2 khai
あかんぼう,赤ん坊,ເດັກນ້ອຍເກີດໃຫມ່,dek nohy2 kert hmay1
あき,空き（場所）,(ສະຖານທີ່)ວ່າງ,waang1
あき,空き（時間）,(ເວລາ)ຫວ່າງ,hvaang1
