_id	yomi	wordJpn	wordLao	typeLaoScript
1	ああ	[こそあど]	ຢ່າງນັ້ນ	yaang1 nan2
2	ああ	[こそあど]	ແນວນັ້ນ	naew nan2
3	ああ	ああ	ໂອ້	oo2
4	ああいう	[こそあど]	ຊະນິດນັ້ນ	xa nit nan2
5	ああいった	[こそあど]	ຊະນິດນັ້ນ	xa nit nan2
6	ああした	[こそあど]	ຊະນິດນັ້ນ	xa nit nan2
7	ああして	[こそあど]	ເຊັ່ນນັ້ນ	xen1 nan2
8	あーっ	あーっ	ໂອ້ຍ	ooy2
9	ああやって	[こそあど]	ຈັ່ງນັ້ນ	jang1 nan2
10	あい	愛	ຄວາມຮັກ	khwaam hak
11	あいえいちひーたー	ＩＨ・ヒーター	ເຕົາໄຟຟ້າໃຊ້ແມ່ເຫລັກ	tao hfai hfaa2 xay2 mae1 hlek
12	あいかぎ	合鍵	ກະແຈຜີ	ka jae hpii
13	あいかわらず	相変わらず	ຄືເກົ່າ	kheu kao1
14	あいかわらず	相変わらず	ຕາມປົກກະຕິ	taam pok ka ti
15	あいかわらず	相変わらず	ຕາມເຄີຍ	taam khery
16	あいきゅー	ＩＱ	ໄອ.ຄິວ.	ai khiw
17	あいきょう	愛嬌	ສະເຫນ	sa hnee
18	あいこくしん	愛国心	ລັດທິຊາດນິຍົມ	lat thi xaat ni nyom
19	あいこくしん	愛国心	ຮັກຊາດ	hak xaat
20	あいさいか	愛妻家	ເມຍທີ່ຮັກ	mia thii1 hak
21	あいさつ	挨拶	ຄຳນັບ	kham nap
22	あいさつ	挨拶	ທັກທາຍ	thak thaay
23	あいしあう	愛し合う	ຮັກກັນ	hak kan
24	あいしあう	愛し合う	ຮັກແພງກັນ	hak phaeng kan
25	あいしゃどー	アイ・シャドー	ສີທາຫນັງຕາ	sii thaa hnang taa
26	あいしゃどー	アイ・シャドー	ອາຍແຊໂດ	aay xae doo
27	あいしょう	愛称	ຊື່ນ້ອຍ	xeu1 nohy2
28	あいしょう	愛称	ຊື່ຫລິ້ນ	xeu1 lin2
29	あいじょう	愛情	ຄວາມຮັກ	khwaam hak
30	あいじん	愛人	ເມຍນ້ອຍ	mia nohy2
31	あいず	合図	ໃຫ້ສັນຍານ	hhay2 san nyaan
32	あいすくりーむ	アイス・クリーム	ກະແລມ	ka laem
33	あいすこーひー	アイス・コーヒー	ນ້ຳໂອລ້ຽງ	nam2 oo liang2
34	あいすらんど	アイス・ランド	ອິສະລັງ	i sa lang
35	あいする	愛する	ຮັກ	hak
36	あいだ	間	ລະຫວ່າງ	la hvaang1
37	あいつ	あいつ	ມັນ	man
38	あいつ	あいつ	ຫມໍນັ້ນ	hmoh nan2
39	あいて	相手	ຜູ້ຮ່ວມມື	hpuu2 huam1 meu
40	あいて	相手	ຝ່າຍຄ້ານ	hpaay1 khaan2
41	あいであ	アイデア	ຄວາມຄິດ	khwaam khit
42	あいであ	アイデア	ແນວຄິດ	naew khiit
43	あいでぃーかーど	ＩＤ・カード	ບັດປະຈຳຕົວ	bat pa jam tua
44	あいぼう	相棒	ຄູ່ຫູ	khuu1 hhuu
45	あいまい	曖昧	ບໍ່ຊັດແຈ້ງ	boh1 xat jaeng2
46	あいらしい	愛らしい	ຫນ້າຮັກ	hnaa2 hak
47	あいるらんど	アイル・ランド	ອຽກລັງ	iak lang
48	あいろん	アイロン	ເຕົາລີດ	tao liit
49	あいろんをかける	アイロンを・かける	ລີດຜ້າ	liit hpaa2
50	あいろんをかける	アイロンを・かける	ລີດເຄືອງນຸ່ງ	liit kheuang nung1
51	あう	（～）あう	ກັນ	kan
52	あう	合う	ພໍດີ	phoh dii
53	あう	合う	ພໍດີກັນ	phoh dii kan
54	あう	会う	ພົບ	phop
55	あう	会う	ພົບກັນ	phop kan
56	あう	合う	ເຂົ້າກັນ	hkao2 kan
57	あう	会う	ເຈິກັນ	joe kan
58	あえて	敢えて	ກ້າເຮັດ	kaa2 het
59	あえん	亜鉛	ສັງກະສີ	sang ka sii
60	あえんめっき	亜鉛メッキ	ຊຸບສັງກະສີ	xup sang ka sii
61	あお	青	ສີຟ້າ	sii faa2
62	あおい	青い	ມີສີຟ້າ	mii sii faa3
63	あおがえる	青蛙	ຂຽດ	hkiat
64	あおぐ	仰ぐ	ນັບຖື	nap hteu
65	あおむけになる	仰向け・に・なる	ຫງາຍ	hngaay
66	あか	垢	ຂີ້ໄຄ	hkii2 khai
